id,page_url,section,severity,issue_code,current_it,en_reference,source_file,source_key_or_id,context,rewriter_notes,status
"IT-0001","/* (global)","nav","P1","ANGLICISM","Prenota una call","","src/i18n/ui/it.json","nav.bookCall","UI chrome / meta","Use Prenota una chiamata.","fixed"
"IT-0002","/* (global)","footer","P1","ANGLICISM","Piattaforma cloud ad alte prestazioni, vendor-neutral, economica, green e self-hostable.","","src/i18n/ui/it.json","footer.tagline","UI chrome / meta","Replace vendor-neutral, green, self-hostable with Italian.","fixed"
"IT-0003","/* (global)","footer","P2","META","politica sulla riservatezza","","src/i18n/ui/it.json","footer.privacy","UI chrome / meta","Use Informativa sulla privacy.","fixed"
"IT-0004","/* (global)","pages.index","P1","ANGLICISM","Cloud vendor-neutral, economico, green, ad alte prestazioni e self-hostable, pronto per l'infrastructure-as-code.","","src/i18n/ui/it.json","pages.index.heroSubtitle","UI chrome / meta","Mixed EN/IT in hero subtitle.","fixed"
"IT-0005","/* (global)","pages.about","P2","META","Elemento | Informazioni su | Missione e team della piattaforma cloud","","src/i18n/ui/it.json","pages.about.title","UI chrome / meta","Informazioni su → Chi siamo.","fixed"
"IT-0006","/* (global)","pages.about","P1","ANGLICISM","Trasformiamo l'infrastruttura cloud con soluzioni vendor-neutral, sostenibili e convenienti.","","src/i18n/ui/it.json","pages.about.heroSubtitle","UI chrome / meta","vendor-neutral left in Italian string.","fixed"
"IT-0007","/* (global)","pages.atomos","P1","META","AtomOS: potenzia il tuo cloud con l'hypervisor Linux | Elemento Nuvola","","src/i18n/ui/it.json","pages.atomos.title","UI chrome / meta","Elemento Nuvola → Elemento Cloud.","fixed"
"IT-0008","/* (global)","pages.atomosphere","P1","CALQUE","Il gateway API multicloud di Elemento connette oltre 235 cloud e nodi on-premise in un'unica rete programmabile. Controllo unificato, portabilità senza soluzione di continuità.","","src/i18n/ui/it.json","pages.atomosphere.description","UI chrome / meta","senza soluzione di continuità for seamless.","fixed"
"IT-0009","/* (global)","pages.solutions_ai","P1","META","Startup e laboratori di ricerca in materia di intelligenza artificiale/scienza dei dati | Elemento","","src/i18n/ui/it.json","pages.solutions_ai.title","UI chrome / meta","Title overly long/formal; shorten for SERP.","fixed"
"IT-0010","/* (global)","pages.solutions_ai","P1","CALQUE","Addestra, distribuisci e scala i carichi di lavoro AI senza soluzione di continuità su cloud e nodi on-premise. Elemento fornisce la gestione dei cluster GPU e ambienti AI multi-cloud.","","src/i18n/ui/it.json","pages.solutions_ai.description","UI chrome / meta","senza soluzione di continuità.","fixed"
"IT-0011","/* (global)","blog","P2","STYLE","Gli articoli sono pubblicati in inglese. Interfaccia in italiano; i contenuti degli articoli restano in inglese fino a traduzione dedicata.","","src/i18n/ui/it.json","blog.englishPostsNote","UI chrome / meta","OK content; verify tone with brand voice.","fixed"
"IT-0012","/it/about.html","body copy","P2","STYLE","Partenariato","Partnership","src/i18n/replacements/it.json","byStem.about","EN: Partnership","Partnership → Partnership or Collaborazioni (Partenariato is rare in IT B2B).","fixed"
"IT-0013","/it/about.html","body copy","P2","META","Casa","Home","src/i18n/replacements/it.json","byStem.about","EN: Home","Breadcrumb Home mistranslated as Casa. Use Home.","fixed"
"IT-0014","/it/atomos.html","body copy","P2","META","Ulteriori informazioni sulla tecnologia","Learn More About Technology","src/i18n/replacements/it.json","byStem.atomos","EN: Learn More About Technology","About page title: prefer Chi siamo | Elemento.","open"
"IT-0015","/it/atomos.html","body copy","P0","CRITICAL","Scopri di più sugli elettrodi","Learn About Electros","src/i18n/replacements/it.json","byStem.atomos","EN: Learn About Electros","Electros (product name) mistranslated as elettrodi (electrodes). Keep Electros.","fixed"
"IT-0016","/it/atomos.html","body copy","P2","META","Ulteriori informazioni sull'orbitale","Learn About Orbital","src/i18n/replacements/it.json","byStem.atomos","EN: Learn About Orbital","About page title: prefer Chi siamo | Elemento.","open"
"IT-0017","/it/atomos.html","body copy","P2","META","Casa","Home","src/i18n/replacements/it.json","byStem.atomos","EN: Home","Breadcrumb Home mistranslated as Casa. Use Home.","fixed"
"IT-0018","/it/atomosphere.html","body copy","P0","CRITICAL","Scopri di più sugli elettrodi","Learn About Electros","src/i18n/replacements/it.json","byStem.atomosphere","EN: Learn About Electros","Electros (product name) mistranslated as elettrodi (electrodes). Keep Electros.","fixed"
"IT-0019","/it/atomosphere.html","body copy","P2","META","Casa","Home","src/i18n/replacements/it.json","byStem.atomosphere","EN: Home","Breadcrumb Home mistranslated as Casa. Use Home.","fixed"
"IT-0020","/it/blog-posts/2023-06-30-cloud-migration-challenge-or-opportunity.html","body copy","P1","CALQUE","In Elemento siamo specializzati nel trasformare questo processo scoraggiante in un'esperienza senza soluzione di continuità. Ecco come ridefiniamo il percorso di migrazione al cloud per farti risparmi…","At Elemento we specialize in turning this daunting process into a seamless experience . Here's how we redefine the cloud migration journey to save you time, money and headaches .","src/i18n/replacements/it.json","byStem.blog-posts_2023-06-30-cloud-migration-challenge-or-opportunity","EN: At Elemento we specialize in turning this daunting process into a seamless exper","Calque of seamless. Use senza interruzioni, fluido, integrato.","open"
"IT-0021","/it/blog-posts/2023-08-29-data-spaces-the-value-of-connected-data.html","body copy","P1","CALQUE","Meccanismo di governance dei dati: un meccanismo di governance dei dati all'interno degli spazi dati determina i diritti di accesso, elaborazione, utilizzo e condivisione dei dati. Stabilisce regole e…","Data Governance Mechanism: A data governance mechanism within data spaces determines access rights, processing, usage, and sharing of data. It establishes clear rules and protocols that enable seamles","src/i18n/replacements/it.json","byStem.blog-posts_2023-08-29-data-spaces-the-value-of-connected-data","EN: Data Governance Mechanism: A data governance mechanism within data spaces determ","Calque of seamless. Use senza interruzioni, fluido, integrato.","open"
"IT-0022","/it/blog-posts/2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing.html","body copy","P2","ANGLICISM","Dark Data: una sfida ambientale enorme I ","dati oscuri"," si riferiscono ai dati accumulati e archiviati dalle organizzazioni durante le loro attività commerciali, ma che vengono utilizzati in modo limit…","Dark Data: A Massive Environmental Challenge ","Dark data"," refers to data accumulated and stored by organizations during their business activities but is limitedly used or not used at all . These dark d","src/i18n/replacements/it.json","byStem.blog-posts_2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing","EN: Dark Data: A Massive Environmental Challenge ","Dark data"," refers to data accumula","In IT marketing prefer sostenibile or a basse emissioni.","open"
"IT-0023","/it/blog-posts/2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing.html","body copy","P2","ANGLICISM","Il Cloud Computing ha trasformato la gestione dei dati aziendali, ma ha comportato anche un notevole impatto ambientale. Per ridurre le emissioni di anidride carbonica associate al Cloud Computing, è …","Cloud Computing has transformed the management of corporate data, but it has also led to a significant environmental impact. To reduce carbon dioxide emissions associated with Cloud Computing, it is e","src/i18n/replacements/it.json","byStem.blog-posts_2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing","EN: Cloud Computing has transformed the management of corporate data, but it has als","In IT marketing prefer sostenibile or a basse emissioni.","open"
"IT-0024","/it/blog-posts/2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing.html","body copy","P2","ANGLICISM","Nell’era digitale in cui viviamo, il Cloud Computing ha rivoluzionato la gestione e l’elaborazione dei dati aziendali. Tuttavia, l’aumento esponenziale dei dati e l’uso inefficiente delle risorse digi…","In the digital era we live in, Cloud Computing has revolutionized the management and processing of corporate data. However, the exponential increase in data and inefficient use of digital resources ha","src/i18n/replacements/it.json","byStem.blog-posts_2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing","EN: In the digital era we live in, Cloud Computing has revolutionized the management","In IT marketing prefer sostenibile or a basse emissioni.","open"
"IT-0025","/it/blog-posts/2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing.html","body copy","P2","ANGLICISM","Per raggiungere un’effettiva sostenibilità ambientale, le aziende devono adottare una strategia Green Data che miri a ridurre l’impronta di carbonio dell’intera infrastruttura digitale. Ciò include l’…","To achieve effective environmental sustainability, companies must adopt a Green Data strategy that aims to reduce the carbon footprint of the entire digital infrastructure. This includes implementing ","src/i18n/replacements/it.json","byStem.blog-posts_2024-02-05-green-data-reducing-the-environmental-impact-of-cloud-computing","EN: To achieve effective environmental sustainability, companies must adopt a Green ","In IT marketing prefer sostenibile or a basse emissioni.","fixed"
